pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_dens,st_rad,st_mass,st_lum,pl_class
K2-239 c,7.775,0.0576,0.089,0.00306,5.34,0.36,0.4,-1.796,Terrestrial
K2-239 d,10.115,0.0685,0.098,0.0043,5.66,0.36,0.4,-1.796,Super Earth
K2-24 b,20.88977,0.154,0.482,0.05978,0.64,1.16,1.07,0.158,Neptune-like
K2-24 c,42.3391,0.247,0.669,0.04845,0.2,1.16,1.07,0.158,Neptune-like
K2-240 b,6.034,0.0513,0.178,0.0147,3.2,0.54,0.58,-1.276,Super Earth
K2-240 c,20.523,0.1159,0.161,0.0123,3.67,0.54,0.58,-1.276,Super Earth
K2-241 b,26.8199,0.1567,0.227,0.0221,2.33,0.75,0.71,-0.446,Neptune-like
K2-242 b,6.51389,0.0494,0.227,0.022,2.34,0.37,0.38,-1.808,Neptune-like
K2-243 b,11.54182,0.1087,0.194,0.0168,2.88,1.39,1.29,0.427,Neptune-like
K2-243 c,24.94598,0.1817,0.179,0.0148,3.18,1.39,1.29,0.427,Super Earth
K2-244 b,21.06884,0.1418,0.156,0.0117,3.8,0.92,0.86,-0.118,Super Earth
K2-245 b,11.89307,0.0959,0.387,0.0546,1.17,1.25,0.83,0.172,Neptune-like
K2-246 b,5.76918,0.0602,0.311,0.0377,1.55,0.94,0.87,-0.151,Neptune-like
K2-247 b,2.25021,0.0304,0.189,0.0162,2.96,0.69,0.74,-0.882,Neptune-like
K2-247 c,6.49424,0.0615,0.195,0.0171,2.84,0.69,0.74,-0.882,Neptune-like
K2-248 b,7.17256,0.0699,0.229,0.0224,2.31,0.92,0.88,-0.189,Neptune-like
K2-249 b,12.409,0.1151,0.249,0.0258,2.07,1.57,1.32,0.336,Neptune-like
K2-25 b,3.48456408,0.0287,0.306,0.07709,3.31,0.29,0.26,-2.088,Neptune-like
K2-250 b,4.01457,0.0459,0.218,0.0205,2.47,0.81,0.8,-0.426,Neptune-like
K2-251 b,9.30075,0.0694,0.21,0.0193,2.59,0.49,0.52,-1.342,Neptune-like
K2-252 b,13.81513,0.1041,0.155,0.0116,3.84,0.82,0.79,-0.408,Super Earth
K2-253 b,4.00167,0.0506,1.13,,,1.1,1.08,-0.077,Gas Giant
K2-254 b,4.09639,0.0448,0.145,0.0104,4.17,0.67,0.71,-0.822,Super Earth
K2-254 c,12.11839,0.0923,0.195,0.0171,2.84,0.67,0.71,-0.822,Neptune-like
K2-255 b,1.96417,0.0274,0.259,0.0275,1.97,0.69,0.71,-0.79,Neptune-like
K2-256 b,5.52011,0.0578,0.235,0.0233,2.24,0.78,0.84,-0.469,Neptune-like
K2-257 b,1.60588,0.0216,0.074,0.00157,4.79,0.5,0.52,-1.381,Terrestrial
K2-258 b,19.0921,0.149,0.268,0.0292,1.89,1.31,1.21,0.272,Neptune-like
K2-259 b,15.48043,0.1271,0.207,0.0189,2.64,1.13,1.14,0.167,Neptune-like
