pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_dens,st_rad,st_mass,st_lum,pl_class
Kepler-1680 b,8.77424,0.0784,0.121,0.00761,5.29,0.72,0.83,-0.524,Super Earth
Kepler-1681 b,69.8956,0.32,0.228,0.0222,2.33,0.76,0.89,-0.293,Neptune-like
Kepler-1682 b,14.8334,0.1134,0.258,0.0274,1.98,0.84,0.99,-0.196,Neptune-like
Kepler-1683 b,15.0337,0.1182,0.167,0.0131,3.48,0.9,0.95,-0.198,Super Earth
Kepler-1684 b,47.7055,0.2253,0.256,0.0271,2,0.67,0.75,-0.707,Neptune-like
Kepler-1685 b,20.4905,0.1485,0.23,0.0225,2.3,0.84,0.96,-0.245,Neptune-like
Kepler-1686 b,9.30987,0.0866,0.127,0.00825,4.97,1.2,1.02,0.141,Super Earth
Kepler-1687 b,5.77954,0.0532,0.148,0.0106,4.09,0.73,0.65,-0.859,Super Earth
Kepler-1688 b,5.62012,0.0577,0.113,0.0067,5.83,0.75,0.81,-0.636,Super Earth
Kepler-1689 b,8.483,0.0798,0.084,0.00251,5.17,1,1.02,-0.016,Terrestrial
Kepler-169 b,3.250619,0.04,0.101,0.00474,5.75,0.76,0.84,-0.496,Super Earth
Kepler-169 c,6.195469,0.062,0.108,0.00606,5.96,0.76,0.84,-0.496,Super Earth
Kepler-169 d,8.348125,0.075,0.112,0.0066,5.91,0.76,0.84,-0.496,Super Earth
Kepler-169 e,13.767102,0.105,0.196,0.0172,2.83,0.76,0.84,-0.496,Neptune-like
Kepler-169 f,87.090195,0.359,0.23,0.0226,2.3,0.76,0.84,-0.496,Neptune-like
Kepler-1690 b,234.636,0.7097,0.251,0.0261,2.05,0.86,0.94,-0.243,Neptune-like
Kepler-1691 b,3.8482,0.0495,0.164,0.0127,3.58,1.13,1.11,0.175,Super Earth
Kepler-1692 b,5.95966,0.0646,0.099,0.00447,5.68,0.87,0.87,-0.324,Super Earth
Kepler-1693 b,12.0999,0.1011,0.115,0.00695,5.67,0.88,0.95,-0.218,Super Earth
Kepler-1693 c,5.36370993,0.0588,0.087,0.00281,5.27,1.1,0.94,-0.218,Terrestrial
Kepler-1694 b,3.89526,0.0449,0.105,0.00553,5.89,0.76,0.82,-0.508,Super Earth
Kepler-1695 b,4.7329,0.0529,0.1,0.00458,5.72,0.99,0.96,-0.104,Super Earth
Kepler-1696 b,65.9409,0.3244,0.251,0.0261,2.05,1.2,1.02,0.139,Neptune-like
Kepler-1697 b,33.4969,0.2008,0.112,0.00668,5.83,0.77,0.75,-0.588,Super Earth
Kepler-1698 b,1.2107,0.0203,0.096,0.00394,5.56,0.74,0.82,-0.518,Super Earth
Kepler-1699 b,3.49082,0.0418,0.14,0.00968,4.4,0.73,0.81,-0.339,Super Earth
Kepler-17 b,1.4857108,0.02591,1.31,2.45,1.35,1.01,1.04,0.012,Gas Giant
Kepler-170 b,7.930592,0.08,0.285,0.26,13.9,1.03,1.09,-0.055,Gas Giant
Kepler-170 c,16.665863,0.131,0.255,0.0269,2.01,1.03,1.09,-0.055,Neptune-like
Kepler-1700 b,234.239,0.7576,0.259,0.0276,1.97,1.09,1.12,0.154,Neptune-like
Kepler-1701 b,169.134,0.5608,0.198,0.0175,2.79,0.84,0.87,-0.351,Neptune-like
Kepler-1702 b,18.5012,0.1275,0.143,0.0101,4.28,0.73,0.85,-0.496,Super Earth
Kepler-1704 b,988.88112,2.027,1.066,4.16,4.07,1.7,1.13,0.452,Gas Giant
Kepler-1705 b,9.03502,0.08,0.181,0.01406,2.977353,1.26,1.14,0.354,Neptune-like
Kepler-1705 c,11.28,0.1028278,0.183,0.01705,3.528714,1.26,1.14,0.354,Super Earth
Kepler-1708 b,737.1131,1.64,0.889,4.6,8.087,1.12,1.09,0.182,Gas Giant
Kepler-1709 b,65.70459747,0.3192,0.279,0.0312,1.79,1.04,1,0.115,Neptune-like
Kepler-171 b,4.166972,0.05,0.209,0.0191,2.61,0.84,0.91,-0.079,Neptune-like
Kepler-171 c,11.463462,0.098,0.228,0.0223,2.32,0.84,0.91,-0.079,Neptune-like
Kepler-171 d,39.595519,0.223,0.169,0.0133,3.44,0.84,0.91,-0.079,Super Earth
Kepler-1710 b,14.91110039,0.1159,0.285,0.0325,1.73,0.9,0.93,-0.143,Neptune-like
Kepler-1711 b,21.06080055,0.1463,0.172,0.0137,3.37,1.03,0.94,0.01,Super Earth
Kepler-1712 b,13.81499958,0.0903,0.204,0.0184,2.69,0.51,0.52,-1.179,Neptune-like
Kepler-1713 b,18.01160049,0.1469,0.153,0.0113,3.9,1.46,1.3,0.486,Super Earth
Kepler-1714 b,10.27530003,0.1047,0.291,0.0337,1.69,2.09,1.45,0.76,Neptune-like
Kepler-1715 b,35.59730148,0.2178,0.369,0.0504,1.24,1.21,1.08,0.417,Neptune-like
Kepler-1716 b,35.58100128,0.1916,0.216,0.0203,2.49,0.68,0.75,-0.624,Neptune-like
Kepler-1717 b,30.65279961,0.2014,0.267,0.029,1.89,1.64,1.16,0.593,Neptune-like
Kepler-1718 b,135.1880035,0.4878,0.229,0.0224,2.31,0.91,0.85,-0.04,Neptune-like
Kepler-1719 b,6.14955998,0.0674,0.352,0.0465,1.32,1.78,1.08,0.526,Neptune-like
Kepler-172 b,2.940309,0.04,0.21,0.0193,2.59,1.08,1,-0.032,Neptune-like
Kepler-172 c,6.388996,0.068,0.255,0.0269,2.01,1.08,1,-0.032,Neptune-like
Kepler-172 d,14.627119,0.118,0.201,0.0179,2.74,1.08,1,-0.032,Neptune-like
Kepler-172 e,35.118736,0.211,0.246,0.0253,2.1,1.08,1,-0.032,Neptune-like
Kepler-1720 b,12.70639992,0.1043,0.287,0.0328,1.72,0.84,0.94,-0.336,Neptune-like
Kepler-1721 b,4.59238005,0.0519,0.278,0.0312,1.79,0.8,0.89,-0.407,Neptune-like
Kepler-1722 b,9.17856979,0.0819,0.256,0.027,2,0.79,0.88,-0.17,Neptune-like
Kepler-1723 b,39.75289917,0.2249,0.257,0.0272,1.99,1.01,0.96,0.034,Neptune-like
Kepler-1724 b,6.45442009,0.0683,0.253,0.0265,2.03,0.94,1.02,0.055,Neptune-like
Kepler-1725 b,16.71990013,0.1302,0.251,0.0261,2.05,1.08,1.05,0.199,Neptune-like
Kepler-1726 b,18.39629936,0.1306,0.224,0.0215,2.38,0.8,0.88,-0.37,Neptune-like
Kepler-1727 b,9.02929974,0.0796,0.283,0.0321,1.75,0.82,0.82,-0.251,Neptune-like
Kepler-1728 b,4.78299999,0.0535,0.264,0.0284,1.93,0.81,0.89,-0.416,Neptune-like
Kepler-1729 b,4.22097015,0.0418,0.347,0.0454,1.34,0.52,0.54,-0.663,Neptune-like
Kepler-173 b,4.263742,0.048,0.115,0.00696,5.66,0.95,0.79,0.074,Super Earth
Kepler-173 c,8.005777,0.074,0.217,0.0204,2.48,0.95,0.79,0.074,Neptune-like
Kepler-1730 b,13.81019974,0.1131,0.4,0.0577,1.12,1.14,1.01,0.075,Neptune-like
Kepler-1731 b,21.76129913,0.1401,0.262,0.0281,1.94,0.72,0.78,-0.6,Neptune-like
Kepler-1732 b,32.31240082,0.2015,0.366,0.0496,1.25,1.49,1.04,0.296,Neptune-like
Kepler-1733 b,9.22957993,0.0933,0.324,0.0404,1.46,1.25,1.27,0.43,Neptune-like
Kepler-1734 b,6.7968502,0.0714,0.276,0.0306,1.82,0.97,1.05,0.144,Neptune-like
Kepler-1735 b,7.71792984,0.0621,0.107,0.00578,5.94,0.51,0.54,-1.193,Super Earth
Kepler-1736 b,37.81029892,0.2188,0.346,0.0451,1.35,0.97,0.98,0.402,Neptune-like
Kepler-1737 b,64.61750031,0.297,0.481,0.079,0.878,0.88,0.83,-0.344,Neptune-like
Kepler-1738 b,7.67463016,0.0781,0.252,0.0263,2.04,1,1.08,-0.005,Neptune-like
Kepler-1739 b,7.34370995,0.0697,0.217,0.0204,2.48,0.76,0.86,-0.14,Neptune-like
Kepler-174 b,13.98179,0.1,0.175,0.0142,3.28,0.62,0.6,-0.57,Super Earth
Kepler-174 c,44.000529,0.214,0.133,0.00889,4.7,0.62,0.6,-0.57,Super Earth
Kepler-174 d,247.35373,0.677,0.195,0.0171,2.84,0.62,0.6,-0.57,Neptune-like
Kepler-1740 b,8.17240047,0.0779,0.296,0.0347,1.65,0.91,0.94,-0.079,Neptune-like
Kepler-1741 b,2.75759006,0.0296,0.114,0.00681,5.75,0.42,0.45,-1.242,Super Earth
Kepler-1742 b,49.47819901,0.2587,0.194,0.0169,2.86,0.85,0.94,-0.184,Neptune-like
Kepler-1743 b,7.64971018,0.0822,0.143,0.01,4.28,1.61,1.27,0.599,Super Earth
Kepler-1744 b,37.10110092,0.2093,0.336,0.0429,1.4,0.85,0.89,-0.098,Neptune-like
Kepler-1745 b,3.01619005,0.0408,0.172,0.0138,3.35,1.4,0.99,0.007,Super Earth
Kepler-1746 b,321.2120056,0.9453,0.797,0.186,0.455,1.29,1.09,0.496,Gas Giant
Kepler-1747 b,6.23031998,0.066,0.381,0.053,1.19,0.86,0.98,-0.205,Neptune-like
Kepler-1748 b,5.82352018,0.0615,0.242,0.0246,2.15,0.86,0.92,-0.35,Neptune-like
Kepler-1749 b,14.53409958,0.0956,0.144,0.0102,4.23,0.55,0.55,-0.95,Super Earth
Kepler-175 b,11.903515,0.105,0.228,0.0223,2.32,1.01,1.12,0.194,Neptune-like
Kepler-175 c,34.035257,0.213,0.277,0.0308,1.81,1.01,1.12,0.194,Neptune-like
Kepler-1750 b,205.9120026,0.6785,0.536,0.0947,0.764,0.97,0.98,0.061,Neptune-like
Kepler-1751 b,7.01731014,0.0712,0.163,0.0125,3.6,0.97,0.97,0.036,Super Earth
Kepler-1752 b,56.35850143,0.2698,0.405,0.059,1.1,0.82,0.82,-0.398,Neptune-like
Kepler-1753 b,16.00460052,0.1179,0.199,0.0176,2.78,0.77,0.86,-0.56,Neptune-like
Kepler-1754 b,8.19594955,0.0718,0.218,0.0205,2.47,0.75,0.73,-0.612,Neptune-like
Kepler-1755 b,24.81209946,0.1668,0.528,0.0924,0.78,0.92,1,0.274,Neptune-like
Kepler-1756 b,2.35575008,0.0319,0.131,0.00871,4.77,0.81,0.78,-0.459,Super Earth
Kepler-1757 b,19.65640068,0.1335,0.263,0.0283,1.93,0.74,0.83,-0.369,Neptune-like
Kepler-1758 b,9.97721005,0.0919,0.229,0.0224,2.31,1.62,1.04,0.485,Neptune-like
Kepler-1759 b,3.7202301,0.0429,0.081,0.00213,5.03,0.8,0.76,-0.563,Terrestrial
Kepler-176 b,5.433074,0.058,0.128,0.00829,4.94,0.89,0.79,-0.404,Super Earth
Kepler-176 c,12.759712,0.102,0.232,0.072,7.19,0.89,0.79,-0.404,Neptune-like
Kepler-176 d,25.751974,0.163,0.224,0.048,5.28,0.89,0.79,-0.404,Super Earth
Kepler-176 e,51.16579,0.2494,0.129,0.00849,4.87,0.83,0.87,-0.404,Super Earth
Kepler-1760 b,38.3260994,0.2084,0.204,0.0184,2.68,0.9,0.82,-0.26,Neptune-like
Kepler-1761 b,4.04354,0.0413,0.124,0.00791,5.12,0.53,0.57,-1.17,Super Earth
Kepler-1762 b,29.53910065,0.204,0.246,0.0253,2.1,1.24,1.3,0.331,Neptune-like
Kepler-1763 b,1.48028004,0.0257,0.102,0.00499,5.8,1.26,1.03,0.274,Super Earth
Kepler-1764 b,70.46829987,0.3512,0.406,0.0593,1.09,1.13,1.16,0.415,Neptune-like
Kepler-1765 b,10.41889954,0.0917,0.223,0.0213,2.4,1.06,0.95,-0.136,Neptune-like
Kepler-1766 b,105.0149994,0.4229,0.203,0.0183,2.7,1.04,0.92,0.175,Neptune-like
Kepler-1767 b,59.65829849,0.2873,0.269,0.0294,1.88,0.83,0.89,-0.503,Neptune-like
Kepler-1768 b,15.13589954,0.1286,0.199,0.0177,2.77,1.57,1.24,0.287,Neptune-like
Kepler-1769 b,89.1934967,0.3987,0.398,0.0573,1.12,1.3,1.06,0.215,Neptune-like
Kepler-177 b,36.8601,0.2184,0.312,0.01837,0.75,1.32,0.92,0.24,Neptune-like
Kepler-177 c,49.40926,0.2655,0.779,0.04625,0.121,1.32,0.92,0.24,Neptune-like
Kepler-1770 b,16.84189987,0.1261,0.253,0.0266,2.02,1.01,0.94,-0.209,Neptune-like
Kepler-1771 b,88.64399719,0.3815,0.362,0.0487,1.28,0.93,0.94,-0.092,Neptune-like
Kepler-1772 b,3.21509004,0.0418,0.24,0.0242,2.18,0.93,0.94,0.472,Neptune-like
Kepler-1773 b,40.80970001,0.2489,0.313,0.038,1.54,1.3,1.24,0.405,Neptune-like
Kepler-1774 b,59.77080154,0.3096,0.284,0.0322,1.74,1.12,1.1,0.19,Neptune-like
Kepler-1775 b,85.65399933,0.3986,0.325,0.0406,1.46,1.65,1.15,0.246,Neptune-like
Kepler-1776 b,35.01190186,0.2124,0.233,0.023,2.26,1.15,1.04,0.164,Neptune-like
Kepler-1777 b,12.18420029,0.1031,0.19,0.0163,2.94,1.07,0.98,-0.033,Neptune-like
Kepler-1778 b,10.08740044,0.0956,0.269,0.0294,1.87,1.09,1.14,0.098,Neptune-like
Kepler-1779 b,16.34359932,0.1264,0.271,0.0297,1.86,1.06,1.01,-0.05,Neptune-like
Kepler-178 b,9.576694,0.085,0.259,0.0275,1.97,1.07,0.94,-0.208,Neptune-like
Kepler-178 c,20.552802,0.142,0.257,0.0272,1.99,1.07,0.94,-0.208,Neptune-like
Kepler-178 d,96.678988,0.397,0.352,0.0465,1.32,1.07,0.94,-0.208,Neptune-like
Kepler-1780 b,109.4449997,0.4276,0.322,0.0399,1.49,0.87,0.87,-0.217,Neptune-like
Kepler-1781 b,4.88752985,0.0574,0.212,0.0197,2.55,0.96,1.05,-0.361,Neptune-like
Kepler-1782 b,5.75622988,0.0582,0.199,0.0176,2.78,0.73,0.79,-0.556,Neptune-like
Kepler-1783 b,8.27744007,0.077,0.118,0.00723,5.5,1.78,0.89,-0.451,Super Earth
Kepler-1784 b,13.59049988,0.1072,0.25,0.0259,2.06,0.97,0.89,-0.121,Neptune-like
Kepler-1785 b,19.58550072,0.1379,0.241,0.0245,2.16,1,0.91,0.003,Neptune-like
Kepler-1786 b,78.5460968,0.3659,0.282,0.0319,1.75,1.4,1.06,0.159,Neptune-like
Kepler-1787 b,39.31370163,0.227,0.207,0.0188,2.64,0.93,1.01,-0.098,Neptune-like
Kepler-1788 b,2.80012012,0.0343,0.212,0.0197,2.55,0.7,0.69,-0.611,Neptune-like
Kepler-1789 b,80.23190308,0.3543,0.253,0.0264,2.03,0.89,0.92,-0.231,Neptune-like
Kepler-179 b,2.735926,0.036,0.146,0.0105,4.15,0.76,0.84,-0.278,Super Earth
Kepler-179 c,6.40013,0.064,0.178,0.0147,3.2,0.76,0.84,-0.278,Super Earth
Kepler-1790 b,31.58889961,0.197,0.281,0.0316,1.77,1.37,1.02,0.383,Neptune-like
Kepler-1791 b,7.72086,0.0761,0.278,0.0312,1.79,1.18,0.99,0.176,Neptune-like
Kepler-1792 b,4.1957798,0.0488,0.225,0.0217,2.37,1.01,0.88,-0.508,Neptune-like
Kepler-1793 b,8.77999973,0.0787,0.338,0.0434,1.39,0.76,0.85,-0.234,Neptune-like
Kepler-1794 b,9.76298046,0.0821,0.16,0.0122,3.68,0.82,0.77,-0.611,Super Earth
Kepler-1795 b,13.36019993,0.1002,0.148,0.0107,4.06,0.69,0.77,-0.757,Super Earth
Kepler-1796 b,29.4557991,0.1879,0.245,0.0252,2.11,0.95,1.02,0.118,Neptune-like
Kepler-1797 b,23.3593998,0.1637,0.273,0.0301,1.84,1.01,1.07,0.062,Neptune-like
Kepler-1798 b,16.85589981,0.1082,0.206,0.0187,2.65,0.59,0.59,-0.957,Neptune-like
Kepler-1799 b,11.9296999,0.1028,0.368,0.0501,1.24,0.92,1.02,0.314,Neptune-like
Kepler-18 b,3.504725,0.0447,0.178,0.022,4.9,1.11,0.97,-0.031,Super Earth
Kepler-18 c,7.64159,0.0752,0.49,0.054,0.59,1.11,0.97,-0.031,Neptune-like
Kepler-18 d,14.85888,0.1172,0.623,0.052,0.27,1.11,0.97,-0.031,Neptune-like
Kepler-180 b,13.817124,0.109,0.134,0.00899,4.66,1.06,0.95,-0.132,Super Earth
Kepler-180 c,41.885775,0.229,0.269,0.0293,1.88,1.06,0.95,-0.132,Neptune-like
Kepler-1800 b,4.56202984,0.0592,0.089,0.00302,5.33,2.51,1.33,-0.188,Terrestrial
Kepler-1801 b,10.44089985,0.0915,0.242,0.0245,2.16,0.98,0.94,-0.223,Neptune-like
Kepler-1801 c,116.583183,0.4572,0.362,0.0277,1.96,0.98,0.94,-0.223,Neptune-like
Kepler-1802 b,15.45020008,0.0662,0.149,0.0108,4.04,0.64,0.65,-0.925,Super Earth
Kepler-1802 c,33.13610077,0.1748,0.207,0.0189,2.63,0.64,0.65,-0.925,Neptune-like
Kepler-1804 b,12.28849983,0.1017,0.142,0.00999,4.3,1.67,0.93,-0.512,Super Earth
Kepler-1805 b,8.84794044,0.0699,0.138,0.00945,4.47,0.55,0.58,-1.177,Super Earth
Kepler-1806 b,9.03332043,0.0813,0.21,0.0193,2.59,0.79,0.88,-0.435,Neptune-like
Kepler-1807 b,10.86060047,0.0988,0.241,0.0245,2.16,1.5,1.09,0.603,Neptune-like
Kepler-1808 b,23.3404007,0.1467,0.27,0.0296,1.87,0.89,0.77,-0.062,Neptune-like
Kepler-1809 b,3.7572999,0.0435,0.135,0.00912,4.6,0.72,0.81,-0.471,Super Earth
Kepler-181 b,3.137873,0.04,0.113,0.00678,5.77,0.75,0.85,-0.379,Super Earth
Kepler-181 c,4.302149,0.049,0.178,0.0145,3.22,0.75,0.85,-0.379,Super Earth
Kepler-1810 b,101.1330032,0.4137,0.35,0.0459,1.33,1.02,0.92,-0.158,Neptune-like
Kepler-1811 b,76.42230225,0.3462,0.343,0.0445,1.36,1.19,0.95,0.154,Neptune-like
Kepler-1812 b,7.16521978,0.0765,0.207,0.0189,2.63,1.1,1.16,0.28,Neptune-like
Kepler-1813 b,2.81816006,0.0364,0.126,0.00812,5.03,0.79,0.81,-0.4,Super Earth
Kepler-1814 b,2.93535996,0.0371,0.211,0.0195,2.56,0.82,0.79,-0.506,Neptune-like
Kepler-1814 c,0.62628177,0.0133,0.148,0.0118,3.78,0.82,0.79,-0.506,Super Earth
Kepler-1815 b,12.19139957,0.0984,0.245,0.0251,2.11,0.97,0.86,-0.03,Neptune-like
Kepler-1816 b,91.50099945,0.3648,0.176,0.0143,3.27,0.71,0.79,-0.531,Super Earth
Kepler-1817 b,44.29919815,0.2348,0.203,0.0182,2.71,0.92,0.88,-0.38,Neptune-like
Kepler-1818 b,4.64490986,0.055,0.153,0.0113,3.91,1.13,1.02,0.261,Super Earth
Kepler-1819 b,16.48690033,0.1337,0.348,0.0456,1.34,1.07,1.17,0.086,Neptune-like
Kepler-182 b,9.825792,0.096,0.23,0.0226,2.3,1.15,1.16,0.344,Neptune-like
Kepler-182 c,20.684342,0.157,0.306,0.0366,1.58,1.15,1.16,0.344,Neptune-like
Kepler-1820 b,31.03249931,0.1964,0.278,0.0312,1.79,0.93,1.05,-0.022,Neptune-like
Kepler-1821 b,16.45809937,0.1244,0.231,0.0228,2.28,0.88,0.95,-0.124,Neptune-like
Kepler-1822 b,22.13339996,0.1416,0.236,0.0236,2.22,0.7,0.78,-0.286,Neptune-like
Kepler-1823 b,21.10339928,0.1528,0.186,0.0157,3.03,1.13,1.07,0.287,Super Earth
Kepler-1824 b,95.61100006,0.4267,0.212,0.0197,2.55,1.08,1.14,0.171,Neptune-like
Kepler-1825 b,1.02586997,0.0187,0.127,0.00821,4.99,0.85,0.83,-0.532,Super Earth
Kepler-1826 b,1.61536002,0.0213,0.132,0.00874,4.76,0.49,0.49,-1.122,Super Earth
Kepler-1827 b,3.70061994,0.0455,0.166,0.0129,3.52,1.4,0.92,0.187,Super Earth
Kepler-1828 b,10.2737999,0.0924,0.189,0.0161,2.98,0.9,1,-0.111,Neptune-like
Kepler-1829 b,5.18671989,0.0559,0.221,0.0211,2.42,0.78,0.87,-0.394,Neptune-like
Kepler-183 b,5.687945,0.064,0.184,0.0154,3.08,0.96,0.94,0.026,Super Earth
Kepler-183 c,11.637071,0.103,0.203,0.112,16.8,0.96,0.94,0.026,Super Earth
Kepler-1830 b,56.49330139,0.3259,0.297,0.0348,1.65,2.05,1.44,0.631,Neptune-like
Kepler-1831 b,5.78387022,0.0655,0.176,0.0143,3.26,1.01,1.12,-0.045,Super Earth
Kepler-1832 b,3.13878989,0.037,0.109,0.00637,6.01,0.72,0.68,-0.337,Super Earth
Kepler-1833 b,6.8921299,0.0771,0.116,0.00705,5.6,1.45,1.29,0.437,Super Earth
Kepler-1834 b,4.60301018,0.0496,0.13,0.00858,4.83,0.79,0.77,-0.577,Super Earth
Kepler-1834 c,0.76669152,0.015,0.13,0.00624,5.99,0.79,0.77,-0.577,Super Earth
Kepler-1835 b,11.96409988,0.0997,0.315,0.0385,1.52,0.96,0.92,0.078,Neptune-like
Kepler-1836 b,5.25416994,0.0602,0.228,0.0222,2.33,0.99,1.05,0.016,Neptune-like
Kepler-1837 b,5.90608978,0.065,0.184,0.0155,3.06,0.96,1.05,-0.068,Super Earth
Kepler-1838 b,12.14680004,0.1096,0.148,0.0107,4.08,1.96,1.19,0.537,Super Earth
Kepler-1839 b,5.05675983,0.0583,0.174,0.014,3.31,0.94,1.03,0.192,Super Earth
Kepler-184 b,10.687576,0.092,0.211,0.0194,2.58,0.87,0.97,-0.225,Neptune-like
Kepler-184 c,20.303005,0.141,0.176,0.028,6.32,0.87,0.97,-0.225,Super Earth
Kepler-184 d,29.022358,0.179,0.222,0.0213,2.41,0.87,0.97,-0.225,Neptune-like
Kepler-1840 b,131.1900024,0.4644,0.248,0.0256,2.08,0.8,0.77,-0.587,Neptune-like
Kepler-1841 b,25.88599968,0.1606,0.133,0.00888,4.69,0.9,0.82,-0.278,Super Earth
Kepler-1842 b,14.02639961,0.116,0.21,0.0193,2.59,1.13,1.06,-0.026,Neptune-like
Kepler-1843 b,25.54339981,0.171,0.242,0.0245,2.16,1.78,1.02,0.394,Neptune-like
Kepler-1844 b,3.92451,0.0478,0.271,0.0298,1.86,0.85,0.94,0.226,Neptune-like
Kepler-1845 b,11.60649967,0.0885,0.218,0.0205,2.47,0.7,0.69,-0.578,Neptune-like
Kepler-1846 b,14.82009983,0.1089,0.157,0.0118,3.77,0.73,0.79,-0.53,Super Earth
Kepler-1847 b,11.12969971,0.0989,0.245,0.0251,2.12,0.96,1.04,0.099,Neptune-like
Kepler-1848 b,5.60402012,0.0563,0.126,0.00808,5.05,0.74,0.76,-0.513,Super Earth
Kepler-1849 b,57.29290009,0.2597,0.213,0.0198,2.54,0.73,0.71,-0.662,Neptune-like
Kepler-185 b,1.6329,0.026,0.104,0.00537,5.87,0.81,0.81,-0.504,Super Earth
Kepler-185 c,20.729042,0.139,0.18,0.0149,3.16,0.81,0.81,-0.504,Super Earth
Kepler-1850 b,1.3858,0.0206,0.065,0.00098,4.44,0.6,0.61,-0.81,Terrestrial
Kepler-1851 b,12.02289963,0.1016,0.348,0.0455,1.34,0.88,0.97,0.06,Neptune-like
Kepler-1852 b,7.97094011,0.0762,0.168,0.0133,3.46,0.83,0.93,-0.432,Super Earth
Kepler-1853 b,48.88819885,0.2395,0.135,0.00918,4.58,0.79,0.77,-0.562,Super Earth
Kepler-1854 b,39.83110046,0.2119,0.231,0.0227,2.29,0.76,0.8,-0.479,Neptune-like
Kepler-1855 b,0.72733098,0.0115,0.109,0.00617,5.99,0.36,0.39,-1.295,Super Earth
Kepler-1856 b,1.30200005,0.0215,0.155,0.0115,3.85,0.82,0.78,-0.331,Super Earth
Kepler-1857 b,8.94340992,0.0807,0.175,0.0142,3.28,1.01,0.87,0.205,Super Earth
Kepler-1858 b,88.07160187,0.3575,0.216,0.0203,2.49,0.82,0.79,-0.453,Neptune-like
Kepler-1859 b,2.72959995,0.0394,0.141,0.00985,4.33,1.24,1.09,0.154,Super Earth
Kepler-1859 c,3.59645081,0.0473,0.153,0.0107,4.07,1.24,1.09,0.154,Super Earth
Kepler-186 b,3.8867907,0.0343,0.095,0.0039,5.56,0.47,0.48,-1.385,Super Earth
Kepler-186 c,7.267302,0.0451,0.112,0.0066,5.91,0.47,0.48,-1.385,Super Earth
Kepler-186 d,13.342996,0.0781,0.125,0.008,5.09,0.47,0.48,-1.385,Super Earth
Kepler-186 e,22.407704,0.11,0.113,0.00678,5.77,0.47,0.48,-1.385,Super Earth
Kepler-186 f,129.9441,0.432,0.104,0.00537,5.87,0.52,0.54,-1.26,Super Earth
Kepler-1860 b,12.73719978,0.1021,0.102,0.00487,5.77,0.87,0.87,-0.181,Super Earth
Kepler-1861 b,40.0306015,0.2408,0.197,0.0173,2.81,1.37,1.16,0.3,Neptune-like
Kepler-1862 b,16.05730057,0.1199,0.197,0.0173,2.82,0.81,0.9,-0.215,Neptune-like
Kepler-1863 b,44.99760056,0.2555,0.202,0.0181,2.72,0.98,1.1,0.41,Neptune-like
Kepler-1864 b,3.88151002,0.0488,0.067,0.00111,4.52,0.98,1.03,0.03,Terrestrial
Kepler-1865 b,2.52400994,0.0344,0.141,0.00979,4.36,0.87,0.85,-0.329,Super Earth
Kepler-1866 b,11.66009998,0.1016,0.186,0.0157,3.04,1.08,1.03,0.144,Super Earth
Kepler-1867 b,9.88735962,0.0872,0.103,0.0052,5.81,0.82,0.91,0.219,Super Earth
Kepler-1868 b,211.0339966,0.6266,0.281,0.0317,1.78,0.69,0.74,-0.662,Neptune-like
Kepler-1869 b,8.16736031,0.0791,0.1,0.00458,5.72,0.9,0.99,-0.05,Super Earth
Kepler-1869 c,1.7168283,0.028,0.074,0.00104,4.47,0.9,0.99,-0.05,Terrestrial
Kepler-187 b,4.938864,0.059,0.126,0.00809,5.04,1.29,1.11,0.493,Super Earth
Kepler-187 c,10.640263,0.099,0.238,0.0239,2.2,1.29,1.11,0.493,Neptune-like
Kepler-1870 b,3.60694003,0.0453,0.187,0.0159,3,0.84,0.96,-0.226,Neptune-like
Kepler-1871 b,1.95270002,0.0308,0.216,0.0203,2.49,0.95,1.02,0.003,Neptune-like
Kepler-1872 b,3.82591009,0.0465,0.213,0.0197,2.55,0.89,0.91,-0.506,Neptune-like
Kepler-1873 b,0.558842,0.0128,0.145,0.0103,4.19,0.79,0.9,-0.41,Super Earth
Kepler-1874 b,56.57320023,0.2633,0.197,0.0174,2.81,0.78,0.76,-0.577,Neptune-like
Kepler-1875 b,34.45859909,0.2039,0.288,0.033,1.72,0.86,0.95,0.407,Neptune-like
Kepler-1876 b,6.99205,0.0758,0.076,0.00755,19,1.48,1.19,0.429,Super Earth
Kepler-1877 b,2.37756991,0.0351,0.056,0.00056,4.05,0.94,1.02,-0.077,Terrestrial
Kepler-1878 b,4.44587994,0.0521,0.261,0.0279,1.96,0.86,0.96,0.187,Neptune-like
Kepler-1879 b,10.61340046,0.0953,0.184,0.0155,3.07,1.39,1.02,0.384,Super Earth
Kepler-188 b,2.061897,0.032,0.15,0.0109,4.01,1.14,0.98,0.034,Super Earth
Kepler-188 c,5.996553,0.066,0.285,0.0324,1.74,1.14,0.98,0.034,Neptune-like
Kepler-1880 b,6.30921984,0.054,0.189,0.0161,2.97,0.53,0.52,-0.762,Neptune-like
Kepler-1881 b,159.3939972,0.5368,0.266,0.0289,1.9,0.87,0.81,-0.307,Neptune-like
Kepler-1882 b,13.78730011,0.1151,0.133,0.00886,4.7,1.46,1.07,0.237,Super Earth
Kepler-1883 b,103.427002,0.4438,0.29,0.0334,1.7,1.02,1.09,-0.016,Neptune-like
