pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_class
HD 23472 e,HD 23472,1,5,7.90754,0.068,0.818,0.073,0.72,0.00227,Mass,7.5,0.07,46.7,723,88.63,21,0.01065,K4 V,4684,0.71,0.67,-0.2,-0.625,4.53,,2.70687,39.0341,9.73,7.207,9.38476,Terrestrial
HD 23472 f,HD 23472,1,5,12.1621839,0.0906,1.137,0.101,0.77,0.00242,Mass,3,0.07,26.3,630,88.81,28,0.01478,K4 V,4684,0.71,0.67,-0.2,-0.625,4.53,,2.70687,39.0341,9.73,7.207,9.38476,Super Earth
HD 235088 b,HD 235088,1,1,7.4341393,0.072,2.045,0.182,4.84,0.0152,M-R relationship,3.11,,70,805,88.75,19.62,0.02375,K2 V,5037,0.79,0.84,-0.01,-0.443,4.63,0.7,2.48688,41.1706,9.19,7.084,8.94271,Super Earth
HD 23596 b,HD 23596,2,1,1535.11912,2.694,12.4,1.1,3786.60764,11.914,Mass,10.9,0.282,,,38.898,,,F8,6040,1.53,1.1,0.33,0.458,4.23,5.68,0.39478,52.0018,7.26122,5.874,7.10356,Gas Giant
HD 238090 b,HD 238090,1,1,13.671,0.0932,2.52,0.225,6.89,0.02168,Msini,2.37,0.3,8.1,470,,,,M0.0 V,3933,0.57,0.58,-0.03,-1.154,4.7,,4.05064,15.2354,9.71,6.059,9.037911,Neptune-like
HD 238914 b,HD 238914,1,1,4100,5.7,12.8,1.14,1906.98,6,Msini,5,0.56,,,,,,K7,4769,12.73,1.47,-0.25,1.85,2.37,,,519.452,8.770001,6.325,8.497,Gas Giant
HD 240210 b,HD 240210,1,1,501.75,1.16,12.8,1.14,1655.82,5.21,Msini,4.34,0.15,,,,,,K3 III,4297,25.46,0.82,-0.18,1.55,2.31,5.085,,372.405,8.270001,4.388,7.64476,Gas Giant
HD 240237 b,HD 240237,1,1,745.70001,1.92,12.2,1.09,5050.3187,15.89,Msini,15.3,0.4,,,,,,K2 III,3926,71.23,8.76,-0.25,2.49,1.67,4.42,,933.377,8.19,4.319,7.49317,Gas Giant
HD 24040 b,HD 24040,1,2,3668,4.92,13,1.16,1226.8238,3.86,Msini,3.07,0.04,,,,,,G0 V,5802,1.3,1.11,0.19,0.276,4.26,6.68,0.55399,46.6224,7.515,5.969,7.33476,Gas Giant
HD 24040 c,HD 24040,1,2,515.4,1.3,9.35,0.834,63.88351,0.201,Msini,0.429,0.11,,,,,,G0 V,5776.49,1.39,1.1,0.197,0.276,4.2,6.68,0.55399,46.6224,7.515,5.969,7.33476,Gas Giant
HD 24064 b,HD 24064,1,1,535.59998,1.29,12.3,1.1,4096.8287,12.89,Msini,12.1,0.35,,,,,,K0,4052,40,1.61,-0.49,2.546,1.44,9,,300.247,6.74616,3.13,6.17839,Gas Giant
HD 24085 b,HD 24085,1,1,2.0455,0.034,3.46,0.309,11.8,0.03713,Msini,1.57,0.22,,,,,,G0 V,6034,1.41,1.22,0.17,0.377,4.2,,0.5762,54.9004,7.57,6.172,7.42496,Neptune-like
HD 25015 b,HD 25015,1,1,6134.427,6.248,12.5,1.12,2884.92845,9.077,Mass,8.12,0.341,,,32.046,,,K2 V,5160,0.83,0.86,0.04,-0.384,4.4,4,2.24688,37.433,8.87,6.806,8.59876,Gas Giant
HD 25171 b,HD 25171,2,1,1802.29,2.971,13.9,1.24,290.81445,0.915,Msini,0.595,0.042,,,,,,F8 V,6125,1.23,1.08,-0.12,0.276,4.26,4.802,0.94486,55.6146,7.77,6.489,7.638,Gas Giant
HD 25723 b,HD 25723,1,1,457.01,1.49,13.3,1.18,794.57102,2.5,Msini,1.86,0.04,,,,,,K1 III,4766,13.76,2.12,-0.03,1.944,2.5,0.95,,114.816,5.60075,3.044,5.31947,Gas Giant
HD 25912 b,HD 25912,1,2,41.83156,0.242,6.9,0.616,38.13941,0.12,Msini,0.638,0.05,,,,,,,5920.58,1,1.08,0.12,0.041,4.48,,1.54152,49.1661,8.2,6.71,8.02788,Gas Giant
HD 25912 c,HD 25912,1,2,26308.65619,17.848,12.2,1.09,5252.75008,16.527,Mass,15.9,0.051,,,88.333,,,,5920.58,1,1.08,0.12,0.041,4.48,,1.54152,49.1661,8.2,6.71,8.02788,Gas Giant
HD 260655 b,HD 260655,1,2,2.76953,0.02933,1.24,0.111,2.14,0.00673,Mass,6.2,0.039,42.2,709,87.35,14.43,0.02586,M0 V,3803,0.44,0.44,-0.43,-1.44,5.2,5,7.3,10.0055,9.63,5.862,8.876041,Super Earth
HD 260655 c,HD 260655,1,2,5.70588,0.04749,1.533,0.137,3.09,0.00972,Mass,4.7,0.038,16.1,557,87.79,23.37,0.032,M0 V,3803,0.44,0.44,-0.43,-1.44,5.2,5,7.3,10.0055,9.63,5.862,8.876041,Super Earth
HD 26161 b,HD 26161,1,1,10942.29013,10.087,11.9,1.06,9045.39646,28.46,Mass,29.5,0.922,,,59.558,,,,6057.62,1.46,1.12,-0.009,0.393,4.16,,0.52975,40.9128,6.89333,5.524,6.7427,Gas Giant
HD 2638 b,HD 2638,3,1,3.4442,0.04,14.3,1.28,133.4886,0.42,Msini,0.251,0,,,,,,K1 V,5186,0.94,0.77,0.13,-0.33,4.38,3,1.83521,54.9621,9.44,7.308,9.192761,Gas Giant
HD 2685 b,HD 2685,1,1,4.12688,0.0568,16.141,1.44,371.8611,1.17,Mass,0.486,0.091,1451.24,2061,89.252,7.6974,0.09467,,6801,1.56,1.43,0.02,0.668,4.21,1.31,0.51462,196.852,9.595,8.595,9.52025,Gas Giant
HD 26965 b,HD 26965,3,1,42.378,,2.84,0.254,8.47,0.02665,Msini,2.03,0.04,,,,,,K0 V,5072,0.87,0.78,-0.42,-0.34,4.45,6.9,1.98442,5.03545,4.42018,2.498,4.18665,Neptune-like
HD 27442 b,HD 27442,2,1,428.1,1.271,13.5,1.21,495.8,1.56,Msini,1.11,0.06,,,,,,K1/2III,4846,3.18,1.23,0.42,0.851,3.78,10,,18.2704,4.44,1.745,4.14532,Gas Giant
HD 27631 b,HD 27631,1,1,2198.14,3.242,13.5,1.21,495.81231,1.56,Mass,1.11,0.141,,,74,,,G3 IV/V,5737,0.92,0.94,-0.12,-0.056,4.46,4.01,1.1271,50.2862,8.26,6.646,8.08478,Gas Giant
HD 27894 b,HD 27894,1,3,18.01939,0.125,14.1,1.26,196.73578,0.619,Msini,0.386,0.047,,,,,,K2 V,4875,0.89,0.81,0.3,-0.449,4.22,3.9,1.84634,43.8214,9.36,7.071,9.06573,Gas Giant
HD 27894 c,HD 27894,1,3,36.07,0.198,8.24,0.735,51.48846,0.162,Msini,0.506,0.015,,,,,,K2 V,4894,0.89,0.8,0.3,-0.409,4.49,13,1.84634,43.8214,9.36,7.071,9.06573,Gas Giant
HD 27894 d,HD 27894,1,3,5019.54244,5.362,12.7,1.13,2063.65985,6.493,Mass,5.54,0.343,,,101.524,,,K2 V,4894,0.89,0.81,0.3,-0.409,4.49,13,1.84634,43.8214,9.36,7.071,9.06573,Gas Giant
HD 27969 b,HD 27969,1,1,654.5,1.552,12.9,1.15,1525.57635,4.8,Msini,3.91,0.182,0.76,261,,263,,G0 V,5966,1.27,1.16,0.18,0.528,4.12,,0.26456,67.9328,7.66,6.202,7.5139,Gas Giant
HD 28109 b,HD 28109,1,3,22.89104,0.1357,2.199,0.196,18.496,0.05819,Mass,9.56,0.3307,16.23,881,87.725,,0.01441,F8/G0 V,6120,1.45,1.26,0,0.456,4.13,1.1,0.62114,139.611,9.42,8.175,9.29976,Super Earth
HD 28109 c,HD 28109,1,3,56.00819,0.308,4.23,0.377,7.943,0.02499,Mass,0.577,0.1203,22.88,585,89.543,,0.02632,F8/G0 V,6120,1.45,1.26,0,0.456,4.13,1.1,0.62114,139.611,9.42,8.175,9.29976,Neptune-like
HD 28109 d,HD 28109,1,3,84.25999,0.411,3.25,0.29,5.681,0.01787,Mass,0.909,0.0864,17.37,506,89.682,,0.01999,F8/G0 V,6120,1.45,1.26,0,0.456,4.13,1.1,0.62114,139.611,9.42,8.175,9.29976,Neptune-like
HD 28185 b,HD 28185,1,2,385.52775,1.035,12.8,1.14,1855.16441,5.837,Msini,4.86,0.055,,,,,,G5,5662,1.03,0.99,0.227,0.016,4.42,7.5,1.1168,39.3809,7.8,6.185,7.62682,Gas Giant
HD 28185 c,HD 28185,1,2,17417.92079,13.176,12.1,1.08,6241.83209,19.639,Mass,19.4,0.12,,,57.65,,,G5,5662,1.03,0.99,0.21,0.016,4.42,2.5,1.1168,39.3809,7.8,6.185,7.62682,Gas Giant
HD 28192 b,HD 28192,1,1,14.23283,0.118,12.2,1.08,99.79812,0.314,Msini,0.302,0.104,,,,,,,5919.87,1.07,1.08,,0.103,4.41,,1.23964,49.8063,8.06,6.617,7.89874,Gas Giant
HD 28254 b,HD 28254,2,1,1116,2.15,13.7,1.22,368.67,1.16,Msini,0.788,0.81,,,,,,G1 IV/V,5664,1.48,1.06,0.06,0.34,4.12,,0.35764,55.2884,7.69,6.006,7.49977,Gas Giant
HD 285507 b,HD 285507,1,1,6.0881,0.06,13.8,1.23,311.4734,0.98,Msini,0.651,0.09,,,,,,K4.5 V,4503,0.69,0.82,0.13,-0.719,4.67,0.625,1.89557,45.0293,10.49,7.665,10.0404,Gas Giant
HD 285968 b,HD 285968,1,1,8.7836,0.066,2.83,0.253,8.4,0.026,Msini,2.04,0,,450,,,,M2 V,3703.49,0.48,0.5,-0.1,-1.658,4.75,3.62,5.92298,9.47045,9.95,5.607,8.99955,Neptune-like
HD 28678 b,HD 28678,1,1,380.2,1.18,13.5,1.21,490.09386,1.542,Msini,1.09,0.149,,,,,,G8 IV,4972,6.48,1.53,-0.11,1.36,3.06,1.8,,189.908,8.38,5.775,8.05469,Gas Giant
HD 29021 b,HD 29021,1,1,1362.3,2.28,12.9,1.15,1420.69298,4.47,Mass,3.64,0.459,,,33.7,,,G5,5560,0.85,0.85,-0.24,-0.181,4.44,7.4,1.992,30.9939,7.76,6.082,7.58565,Gas Giant
HD 290327 b,HD 290327,1,1,2443,3.43,13.3,1.18,772.3269,2.43,Msini,1.8,0.08,,,,,,G8 V,5505,0.95,0.84,-0.14,-0.14,4.41,,1.65313,56.433,8.99,7.271,8.80364,Gas Giant
HD 29399 b,HD 29399,1,1,892.7,1.913,13.5,1.21,498.9906,1.57,Msini,1.11,0.05,,,,,,K1 III,4845,4.5,1.17,0.14,1.002,3.25,6.2,,44.1518,5.79,3.777,5.50503,Gas Giant
HD 2952 b,HD 2952,1,1,311.60001,1.23,13.6,1.21,435.4271,1.37,Msini,0.951,0.13,,,,,,K0 III,4844,10.76,1.97,0,1.85,2.67,,,110.103,5.9258,3.629,5.64532,Gas Giant
HD 29985 b,HD 29985,1,1,20608.14049,13.39,12.8,1.14,1739.47487,5.473,Mass,4.56,0.261,,,52.658,,,,4678,0.57,0.75,-0.22,-0.846,4.79,,5.57159,31.2707,9.98,6.972,9.47227,Gas Giant
HD 30177 b,HD 30177,1,2,2514.53422,3.604,12.6,1.12,2670.7121,8.403,Mass,7.34,0.207,,,85.393,,,G8 V,5580,1.02,0.98,0.37,0.083,4.42,2.525,0.81457,55.5867,8.41,6.715,8.21511,Gas Giant
HD 30177 c,HD 30177,1,2,12085.45186,10.258,12.7,1.14,1954.6447,6.15,Mass,5.24,0.039,,,98.016,,,G8 V,5580,1.18,0.98,0.33,0.084,4.41,11.6,0.81457,55.5867,8.41,6.715,8.21511,Gas Giant
HD 30562 b,HD 30562,1,1,1157,2.34,13.6,1.21,467.20776,1.47,Mass,1.02,0.76,,,65,,,G2 IV,5882,1.61,1.12,0.2,0.45,4.07,3.6,0.34122,26.1597,5.77466,4.31,5.61828,Gas Giant
HD 30669 b,HD 30669,1,1,1684,2.69,14.3,1.27,149.37,0.47,Msini,0.281,0.18,,,,,,G9 V,5400,0.91,0.92,0.13,-0.146,4.37,4.8,1.53008,58.0844,9.12,7.329,8.90667,Gas Giant
HD 30856 b,HD 30856,2,1,847,1.85,13.5,1.21,491.68301,1.547,Msini,1.1,0.061,,,,,,K0 III,4895,4.4,1.17,-0.06,0.996,3.2,3.8,,131.199,7.91,5.657,7.65813,Gas Giant
HD 31253 b,HD 31253,1,1,466,1.26,14.1,1.26,197.0546,0.62,Msini,0.386,0.3,,,,,,F8,6130,1.75,1.7,0.17,0.517,4.18,3,0.25572,58.1438,7.13266,5.792,6.98479,Gas Giant
HD 31527 b,HD 31527,1,3,16.5535,0.1254,3.22,0.288,10.47,0.0329,Msini,1.72,0.1,,,,,,G2 V,5898,1.07,0.96,-0.17,0.079,4.45,,1.20634,38.4473,7.49,6.049,7.33222,Neptune-like
HD 31527 c,HD 31527,1,3,51.2053,0.2663,3.85,0.343,14.16,0.0445,Msini,1.36,0.04,,,,,,G2 V,5898,1.07,0.96,-0.17,0.079,4.45,,1.20634,38.4473,7.49,6.049,7.33222,Neptune-like
HD 31527 d,HD 31527,1,3,271.6737,0.8098,3.46,0.309,11.82,0.0372,Msini,1.57,0.24,,,,,,G2 V,5898,1.07,0.96,-0.17,0.079,4.45,,1.20634,38.4473,7.49,6.049,7.33222,Neptune-like
HD 3167 b,HD 3167,1,4,0.959641,0.01796,1.67,0.149,4.97,0.01564,Mass,5.6,0,1650,1774,83.4,4.45,0.01725,K0 V,5261,0.88,0.84,0.04,-0.27,4.53,7.8,1.81727,47.2899,8.97,7.066,8.76221,Super Earth
HD 3167 c,HD 3167,1,4,29.8454,0.1776,3,0.268,11.13,0.03502,Mass,2.11,0.06,16.9,564,89.3,44.01,0.03006,K0 V,5261,0.88,0.84,0.04,-0.27,4.53,7.8,1.81727,47.2899,8.97,7.066,8.76221,Neptune-like
HD 3167 d,HD 3167,1,4,8.4112,0.0763,1.92,0.171,4.33,0.01362,Msini,3.36,0.12,88.9,860,,19.02,,K0 V,5261,0.88,0.84,0.04,-0.27,4.47,7.8,1.81727,47.2899,8.97,7.066,8.76221,Super Earth
HD 3167 e,HD 3167,1,4,96.63,0.3885,2.83,0.253,8.41,0.02646,Msini,2.04,0.15,,375,,99.93,,K0 V,5261,0.88,0.84,0.04,-0.27,4.47,7.8,1.81727,47.2899,8.97,7.066,8.76221,Neptune-like
HD 32518 b,HD 32518,1,1,157.54,0.59,13.1,1.17,966.16,3.04,Msini,2.36,0.01,,,,,,K1 III,4580,10.22,1.13,-0.15,1.666,2.1,5.83,,122.115,6.43005,3.911,6.11933,Gas Giant
HD 32963 b,HD 32963,1,1,2372,3.41,13.4,1.19,657.9048,2.07,Mass,1.5,0.07,,,19.3,,,G5 IV,5727,1.11,0.94,0.11,0.064,4.41,4.99,1.12694,38.0786,7.6,6.024,7.42756,Gas Giant
HD 330075 b,HD 330075,1,1,3.38773,0.04,14.3,1.27,152.5584,0.48,Msini,0.287,0,,990,,,,K1,5000,0.84,0.47,0.05,-0.33,4.26,6.2,2.01681,45.2989,9.36,7.171,9.09159,Gas Giant
HD 331093 b,HD 331093,1,1,621.62,1.44,13.6,1.21,476.74261,1.5,Msini,1.04,0.59,,,0.37,,,K0,5544,1.11,1.03,0.17,0.006,4.2,,0.98643,50.1928,8.38,6.649,8.19105,Gas Giant
HD 33142 b,HD 33142,1,3,330,1.074,13.7,1.22,400.46379,1.26,Msini,0.856,0.049,,,,,,K0 III,5025.4,4.17,1.52,0.06,1,3.38,2.72,,121.375,7.96,5.792,7.71274,Gas Giant
HD 33142 c,HD 33142,1,3,810.2,1.955,13.9,1.24,282.86728,0.89,Msini,0.579,0.081,,,,,,K0 III,5025.4,4.17,1.52,0.06,1,3.38,2.72,,121.375,7.96,5.792,7.71274,Gas Giant
HD 33142 d,HD 33142,1,3,89.9,0.452,9.32,0.832,63.56568,0.2,Msini,0.431,0.191,,,,,,K0 III,5025.4,4.17,1.52,0.06,1,3.38,2.72,,121.375,7.96,5.792,7.71274,Gas Giant
HD 332231 b,HD 332231,1,1,18.71204,0.1436,9.718,0.867,77.55052,0.244,Mass,0.464,0.032,98.09,876,89.68,24.21,0.06976,F8,6089,1.28,1.13,0.036,0.305,4.28,4.3,0.766,80.6665,8.558,7.242,8.41839,Gas Giant
HD 33283 b,HD 33283,2,1,18.1991,0.1508,12.5,1.12,104.56607,0.329,Msini,0.294,0.399,,,,,,G3/G5 V,5935,1.97,1.38,0.35,0.64,4.12,3.63,0.2145,89.8623,8.05,6.646,7.89933,Gas Giant
HD 33564 b,HD 33564,1,1,388,1.1,12.5,1.12,2892.1,9.1,Msini,8.14,0.34,,,,,,F6 V,6250,1.44,1.25,-0.12,0.535,4,3,0.57173,20.9531,5.10111,3.911,4.97155,Gas Giant
HD 33844 b,HD 33844,1,2,551.40002,1.6,13.4,1.19,638.8383,2.01,Msini,1.46,0.15,,,,,,K0 III,4861,5.39,1.84,0.27,1.149,3.24,1.88,,105.779,7.29,4.945,7.01153,Gas Giant
HD 33844 c,HD 33844,1,2,916,2.24,13.5,1.2,556.2025,1.75,Msini,1.24,0.13,,,,,,K0 III,4861,5.29,1.78,0.27,1.149,3.24,1.88,,105.779,7.29,4.945,7.01153,Gas Giant
HD 34445 b,HD 34445,1,6,1049,2.07,13.9,1.24,260.6206,0.82,Msini,0.533,0.27,,,,,,G0 V,5879,1.38,1.14,0.18,0.303,4.21,8.5,0.4672,46.0907,7.31,5.79,7.14947,Gas Giant
HD 34445 c,HD 34445,1,6,214.67,0.7181,8.42,0.752,53.5,0.168,Msini,0.492,0.036,,,,,,G0 V,5836,1.38,1.07,0.14,0.303,4.21,8.5,0.4672,46.0907,7.31,5.79,7.14947,Gas Giant
HD 34445 d,HD 34445,1,6,117.87,0.4817,6.07,0.542,30.7,0.097,Msini,0.754,0.027,,,,,,G0 V,5836,1.38,1.07,0.14,0.303,4.21,8.5,0.4672,46.0907,7.31,5.79,7.14947,Neptune-like
HD 34445 e,HD 34445,1,6,49.175,0.2687,4.26,0.38,16.8,0.0529,Msini,1.19,0.09,,,,,,G0 V,5836,1.38,1.07,0.14,0.303,4.21,8.5,0.4672,46.0907,7.31,5.79,7.14947,Neptune-like
HD 34445 f,HD 34445,1,6,676.8,1.543,6.88,0.613,37.9,0.119,Msini,0.64,0.031,,,,,,G0 V,5836,1.38,1.07,0.14,0.303,4.21,8.5,0.4672,46.0907,7.31,5.79,7.14947,Neptune-like
HD 34445 g,HD 34445,1,6,5700,6.36,13.6,1.21,120.6,0.38,Msini,0.263,0.032,,,,,,G0 V,5836,1.38,1.07,0.14,0.303,4.21,8.5,0.4672,46.0907,7.31,5.79,7.14947,Gas Giant
HD 35759 b,HD 35759,1,1,82.467,0.389,13,1.16,1195.0408,3.76,Msini,2.99,0.389,,,,,,G0,6060,1.76,1.15,0.04,0.537,4.24,,0.31131,71.2423,7.74,6.319,7.59606,Gas Giant
HD 360 b,HD 360,1,1,273.1,0.98,14,1.25,238.37131,0.75,Msini,0.477,0.139,,,,,,G8 III,4770,10.86,1.69,-0.06,1.742,2.59,,,111.542,5.986,3.748,5.70895,Gas Giant
HD 3651 b,HD 3651,1,1,62.25,0.295,10.1,0.899,72.46524,0.228,Msini,0.386,0.645,,,,,,K0 V,5221,0.87,0.8,0.145,-0.274,4.45,3,1.90532,11.1336,5.88437,3.999,5.65255,Gas Giant
HD 37124 b,HD 37124,1,3,154.378,0.53364,14,1.25,214.53525,0.675,Msini,0.43,0.054,,,,,,G4 V,5698.64,0.95,0.85,-0.44,-0.112,4.39,4,1.71312,31.6634,7.68,5.952,7.47238,Gas Giant
HD 37124 c,HD 37124,1,3,885.5,1.71,14.1,1.25,207.22516,0.652,Msini,0.406,0.125,,,,,,G4 V,5698.64,0.95,0.85,-0.44,-0.112,4.39,4,1.71312,31.6634,7.68,5.952,7.47238,Gas Giant
HD 37124 d,HD 37124,1,3,1862,2.807,14,1.25,221.20968,0.696,Msini,0.443,0.16,,,,,,G4 V,5698.64,0.95,0.85,-0.44,-0.112,4.39,4,1.71312,31.6634,7.68,5.952,7.47238,Gas Giant
HD 37605 b,HD 37605,1,2,55.01292,0.277,13.2,1.18,854.9627,2.69,Msini,2.04,0.6745,,,,,,K0,5329,0.91,0.94,0.27,-0.22,4.51,5.65,1.36793,46.7864,8.67,6.815,8.46192,Gas Giant
HD 37605 c,HD 37605,1,2,2720,3.74,13.1,1.17,1013.8777,3.19,Msini,2.48,0.03,,,,,,K0,5329,0.91,0.94,0.27,-0.22,4.51,5.65,1.36793,46.7864,8.67,6.815,8.46192,Gas Giant
HD 3765 b,HD 3765,1,1,1211,2.108,8.56,0.764,54.98431,0.173,Msini,0.482,0.298,,,,,,K2V,5049.8,0.83,0.85,0.172,-0.416,4.53,2,2.33565,17.926,7.36,5.164,7.07827,Gas Giant
HD 38283 b,HD 38283,1,1,363.20001,1.02,14,1.25,127.132,0.4,Msini,0.255,0.41,,,,,,F9.5 V,5981,1.49,1.37,-0.18,0.411,4.23,6.2,0.46608,38.0615,6.69,5.267,6.54392,Gas Giant
HD 38529 b,HD 38529,2,2,14.3099,0.115,14.1,1.25,206.58846,0.65,Msini,0.405,0.256,,,,,,G4 IV,5697,2.86,0.98,0.51,0.834,3.71,3.09,0.06063,42.3538,5.92848,4.211,5.74796,Gas Giant
HD 38529 c,HD 38529,2,2,2127.60566,3.226,12.5,1.11,3299.05886,10.38,Mass,9.28,0.357,,,104.559,,,G4 IV,5697,2.86,0.98,0.51,0.834,3.71,3.09,0.06063,42.3538,5.92848,4.211,5.74796,Gas Giant
HD 38801 b,HD 38801,1,1,685.25,1.623,12.5,1.11,3082.31534,9.698,Msini,8.67,0.017,,,,,,K0,5338,2.03,1.21,0.25,0.659,3.88,6.072,,91.4349,8.26,6.279,8.03397,Gas Giant
HD 39091 b,HD 39091,1,3,2088.75851,3.311,12.4,1.1,3917.23512,12.325,Mass,11.3,0.642,,,54.436,,,G0 V,5950,1.19,1.1,0.08,0.16,4.36,3.92,1.148,18.2702,5.65,4.241,5.5128,Gas Giant
HD 39194 b,HD 39194,1,3,5.6368,0.056,1.83,0.163,4,0.01259,Msini,3.59,0.207,,,,,,K0 V,5205,0.78,0.67,-0.61,-0.409,4.53,10,2.57709,26.4131,8.09,6.094,7.85201,Super Earth
HD 39194 c,HD 39194,1,3,14.03,0.103,2.39,0.213,6.3,0.01982,Msini,2.54,0.154,,,,,,K0 V,5205,0.78,0.67,-0.61,-0.409,4.53,10,2.57709,26.4131,8.09,6.094,7.85201,Neptune-like
HD 39194 d,HD 39194,1,3,33.91,0.185,1.83,0.163,4,0.01259,Msini,3.59,0.333,,,,,,K0 V,5205,0.78,0.67,-0.61,-0.409,4.53,10,2.57709,26.4131,8.09,6.094,7.85201,Super Earth
HD 39855 b,HD 39855,1,1,3.2498,0.041,2.85,0.254,8.5,0.02674,Msini,2.02,0.14,,,,,,G8 V,5576,0.74,0.87,,-0.316,4.66,,3.1307,23.2599,7.51,5.756,7.32113,Neptune-like
HD 40307 b,HD 40307,1,5,4.3123,0.0468,1.83,0.163,4,0.0126,Msini,3.59,0.2,,910,,,,K2.5 V,4956,0.72,0.77,-0.31,-0.639,4.47,4.5,3.02559,12.9363,7.17,4.793,6.84367,Super Earth
HD 40307 c,HD 40307,1,5,9.6184,0.0799,2.46,0.219,6.6,0.0208,Msini,2.44,0.06,,696,,,,K2.5 V,4956,0.72,0.77,-0.31,-0.639,4.47,4.5,3.02559,12.9363,7.17,4.793,6.84367,Neptune-like
HD 40307 d,HD 40307,1,5,20.432,0.1321,3.04,0.272,9.5,0.0299,Msini,1.86,0.07,,541,,,,K2.5 V,4956,0.72,0.77,-0.31,-0.639,4.47,4.5,3.02559,12.9363,7.17,4.793,6.84367,Neptune-like
HD 40307 f,HD 40307,1,5,51.76,0.247,2.13,0.19,5.2,0.0164,Msini,2.96,0.02,,398,,,,K2.5 V,4956,0.72,0.77,-0.31,-0.639,4.47,4.5,3.02559,12.9363,7.17,4.793,6.84367,Neptune-like
HD 40307 g,HD 40307,1,5,197.8,0.6,2.56,0.229,7.1,0.0223,Msini,2.33,0.29,,255,,,,K2.5 V,4956,0.72,0.77,-0.31,-0.639,4.47,4.5,3.02559,12.9363,7.17,4.793,6.84367,Neptune-like
HD 40956 b,HD 40956,1,1,578.6,1.4,13.2,1.18,858.141,2.7,Msini,2.05,0.24,,,,,,K0,4869,8.56,2,0.14,1.664,3.02,1.35,,116.593,6.42794,4.143,6.14049,Gas Giant
HD 40979 b,HD 40979,3,1,264.14999,0.85,12.9,1.15,1484.2661,4.67,Msini,3.8,0.25,,,,,,F8 V,6165,1.21,1.45,0.2,0.291,4.43,3.56,0.86779,34.0883,6.75512,5.452,6.59963,Gas Giant
HD 41004 A b,HD 41004 A,2,2,963,,13.2,1.18,807.25,2.54,Msini,1.93,0.74,,,,,,K1/K2 V,5310,0.85,0.95,0.23,-0.293,4.37,1,,36.69117,8.65,6.428,,Gas Giant
HD 41004 B b,HD 41004 B,2,2,1.3283,,12.1,1.08,5838.29,18.37,Msini,18.1,0.081,,,,,,M2 V,5036,1.04,0.4,,-0.202,4.33,,1.04864,41.5504,8.6078,6.428,8.37625,Gas Giant
HD 4113 b,HD 4113,3,1,526.5239,1.28,13.5,1.2,541.26178,1.703,Msini,1.21,0.899,,,,,,G5,5688,1.08,1.01,0.2,0.086,4.4,6.4,1.10439,41.8727,7.88,6.289,7.71051,Gas Giant
HD 42012 b,HD 42012,1,1,857.5,1.67,13.5,1.21,508.528,1.6,Msini,1.14,0.2,,,,,,K0,5405,0.82,0.83,-0.09,-0.27,4.45,4.1,2.20144,36.7984,8.44,6.584,8.22949,Gas Giant
HD 4203 b,HD 4203,1,2,431.88,1.17,13.3,1.19,708.7609,2.23,Msini,1.66,0.52,,,,,,G5,5596,1.42,1.25,0.4,0.293,4.23,8.52,0.41525,81.3795,8.7,7.047,8.51545,Gas Giant
HD 4203 c,HD 4203,1,2,6700,6.95,13.3,1.19,689.66,2.17,Msini,1.61,0.24,,,,,,G5,5582,1.5,0.99,0.34,0.293,4.08,8.52,0.41525,81.3795,8.7,7.047,8.51545,Gas Giant
HD 4208 b,HD 4208,1,1,832.97,1.662,13.9,1.24,257.4423,0.81,Msini,0.527,0.042,,,,,,G7 V Fe-1 CH-0.5,5717,0.85,0.88,-0.28,-0.1,4.5,3.813,1.73372,34.1937,7.783,6.163,7.61066,Gas Giant
HD 42618 b,HD 42618,1,1,149.61,0.554,3.89,0.347,14.4,0.04531,Msini,1.34,0.19,3.16,337,,119.1,,G4 V,5727,1,1.01,-0.09,-0.009,4.44,3.72,1.57325,24.3358,6.87,5.301,6.68303,Neptune-like
HD 4308 b,HD 4308,1,1,15.56,0.12,4.12,0.368,15.8915,0.05,Msini,1.25,0,,,,,,G5V,5686,1.02,0.93,-0.35,-0.004,4.39,4.3,1.23938,22.0158,6.55,4.945,6.37578,Neptune-like
HD 4313 b,HD 4313,1,1,356.21,1.157,13.4,1.2,612.45841,1.927,Msini,1.4,0.147,,,,,,G5,4943,5.14,1.63,0.14,1.149,3.24,2,,136.308,7.83,5.595,7.57399,Gas Giant
HD 43197 b,HD 43197,1,2,308.92072,0.882,14.2,1.26,175.75911,0.553,Msini,0.337,0.742,,,,,,G8 V,5508,1,0.96,0.4,-0.137,4.31,,1.11963,62.4112,8.98,7.203,8.77158,Gas Giant
HD 43197 c,HD 43197,1,2,9295.9735,8.54,12.6,1.12,2500.67391,7.868,Mass,6.87,0.149,,,11.42,,,G8 V,5508,1,0.96,0.4,-0.034,4.37,,1.11963,62.4112,8.98,7.203,8.77158,Gas Giant
