pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_class
TOI-2096 b,TOI-2096,1,2,3.1190633,0.025,1.243,0.111,2.08,0.00653,M-R relationship,5.95,0.15,9.4,445,89.24,,0.0485,M4,3300,0.24,0.23,-0.03,-2.228,5.05,4,23.9,48.4809,15.92,11.021,14.7736,Super Earth
TOI-2096 c,TOI-2096,1,2,6.38784,0.04,1.914,0.171,4.32,0.0136,M-R relationship,3.39,0.1,3.7,349,89.56,,0.0747,M4,3300,0.24,0.23,-0.03,-2.228,5.05,4,23.9,48.4809,15.92,11.021,14.7736,Super Earth
TOI-2109 b,TOI-2109,1,1,0.67247414,0.01791,15.098,1.347,1595.4986,5.02,Mass,2.55,,14429,3646,70.74,2.268,0.08155,F,6540,1.7,1.45,0.068,0.673,4.14,1.77,0.417,262.041,10.217,9.07,10.1138,Gas Giant
TOI-2136 b,TOI-2136,1,1,7.851928,0.057,2.19,0.195,6.37,0.02004,Mass,3.34,0,4,395,89.4,35.75,0.0591,M4.5 V,3342,0.34,0.34,0.03,-1.886,4.91,4.6,12.2,33.3631,14.32,9.343,12.9643,Super Earth
TOI-2145 b,TOI-2145,1,1,10.26075,0.1108,11.982,1.069,1671.77742,5.26,Mass,5.34,0.208,506.1,1484,88.1,8.65,0.03996,,6177,2.75,1.72,0.247,0.997,3.79,1.8,0.1161,224.731,9.07,7.761,8.93651,Gas Giant
TOI-2152 A b,TOI-2152,3,1,3.3773512,0.05064,14.359,1.281,899.45439,2.83,Mass,1.67,0.057,2195.79,1802,86.42,6.76,0.0816,F4 V,6630,1.61,1.52,0.282,0.653,4.21,0.83,0.511,303.006,11.436,9.597,11.2407,Gas Giant
TOI-2154 b,TOI-2154,1,1,3.8240801,0.0513,16.287,1.453,292.40213,0.92,Mass,0.37,0.117,1005.89,1580,83.37,7.91,0.10693,,6280,1.4,1.23,0.011,0.435,4.24,2.9,0.639,296.46,11.068,9.85,11.0359,Gas Giant
TOI-2158 b,TOI-2158,1,1,8.60077,0.075,10.761,0.96,260.61929,0.82,Mass,1.14,0.07,81.5,1188,85.7,11.4,0.07,,5673,1.41,1.12,0.47,0.231,4.19,8,0.56,198.473,10.887,9.071,10.6718,Gas Giant
TOI-216.01,TOI-216,1,2,34.525528,0.2069,10.1,0.901,177.98391,0.56,Mass,0.76,0.0046,10.1,497,89.84,53.18,0.123,,5026,0.75,0.77,0.32,-0.442,4.66,,2.38,177.945,12.324,10.218,12.1631,Gas Giant
TOI-216.02,TOI-216,1,2,17.16073,0.1293,8,0.714,18.75188,0.059,Mass,0.34,0.16,25.9,628,88.6,33.25,0.1,,5026,0.75,0.77,0.32,-0.442,4.66,,2.38,177.945,12.324,10.218,12.1631,Neptune-like
